organization_name,website,phone_number,org_address,org_description,schedule,gender,kids,active,last_update,zipcode
New Traditions,http://new-traditions.org,(206) 762-7207,9045 16th Ave. SW,Comprehensive outpatient services serving women 18 and older. Agency provides DBHR-certified service(s). Call for an appointment. No fees if client meets criteria for Apple Health (Medicaid). Sliding fee and private pay for non-Medicaid clients. ,"Office: Mon. – Fri.\, 8 a.m. – 5 p.m.; Service hours vary",women only,allowed,t,,
Oxford Houses,http://wa.oxfordhouse.us,Seattle Outreach Worker: (206) 280-7926,16203 Fifth Ave. NE,"Peer-run clean and sober housing. Residents are expected to participate in a recovery program. No co-ed housing. Limited housing for single adults with children. May take ex-offenders\, excluding arsonists and sex-offenders. Not able to accept people on methadone treatment. May accept women fleeing domestic violence. Apply directly to the house. Those who need additional help can call an outreach worker. Fees average $275 to $450 per month.",,no restrictions,not allowed,t,,
Pioneer Human Services Dutch Shisler Sobering Center,http://pioneerhumanservices.org,(206) 477-6363,1930 Boren Ave.,"Supervised facility for individuals to “sleep off” the effects of alcohol and other drugs. Referrals to detoxification\, chemical dependency treatment and other social services are available. Agency provides DBHR-certified service(s). Call the King County Emergency Service Patrol at 911 or visit in person. No fees.",24 hours,no restrictions,allowed,t,,
"Pioneer Human Services\, Rainier Ave. S.",http://pioneerhumanservices.org,(206) 470-3856,901 Rainier Ave. S.,"Outpatient treatment\, intensive outpatient treatment and DUI evaluations. Mental health assessments\, mental health counseling\, psychiatric evaluations and medication monitoring.  Serves adults 18 and older. Agency provides DBHR-certified service(s). Call for appointment information. Sliding scale fees. Will accept Apple Health (Medicaid)\, Disability Lifeline and private pay. Free or low-cost treatment available to qualifying clients.","Mon. – Fri.\, 8 a.m. – 5 p.m.; Service hours vary",no restrictions,allowed,t,,
Praisealujah,http://praisealujah.org,(206) 251-8971,"17800 Des Moines Memorial Dr.\, Suite G","Six- to 12-month\, faith-based treatment program serving everyone\, except convicted sex offenders. Call for more information. Voicemail is available. No fees.","Office Hours: Sun.\, 1 – 6 p.m.; Mon. – Fri.\, 9 a.m. – 9 p.m.; Sat.\, noon – 6 p.m.",no restrictions,allowed,t,,
Recovery Café,http://recoverycafe.org,(206) 374-8731,2022 Boren Ave.,"Members receive meals\, recovery classes\, peer support and referrals. Serves everyone. Members must be drug and alcohol free for 24 hours\, contribute to running the Cafe and attend a support group. Visit to sign up for a New Member Introduction.","First Visit: Tue. – Sat.\, noon – 5 p.m.; Latte Hour: daily\, 2:30 p.m.; Meals: Tue. – Sat.\, 12:30 – 3 p.m.\, 5:15 – 6 p.m.",no restrictions,allowed,t,,
"Salvation Army\, Fourth Ave. S.",http://seattlearc.salvationarmy.org,Women: (206) 587-0503 x 26; Men: (206) 587-0503 x 28,1000 Fourth Ave. S.,"Christian-based inpatient drug and alcohol treatment program serving adults. Does not accept sex offenders. Clients must be able to pass an alcohol and drug screening test. Does not take individuals on SSI\, SSDI or ABD or anyone who is on Medication Assisted Treatment. Visit in person during intake hours. No fees. Emergency assistance with rent and utilities. Call or check website for eligibility\, application and fee information. No walk ins. *Services may be limited due to religious affiliation.","Intake: Mon.\, Wed.\, Thurs.\, 7:30 a.m. – noon",no restrictions,allowed,t,,
Seadrunar,http://seadrunar.org,Detoxification: (206) 245-1086; Substance Abuse Treatment (206) 767-0244,10344 14th Ave. S,Structured residential treatment services and detoxification services serving adults. Agency provides DBHR-certified service(s). Call for application and fee information. Accepts private pay and Apple Health (Medicaid).,"Mon. – Fri.\, 8 a.m. – 5 p.m.; Intake coordinator available 24 hours by phone",no restrictions,not allowed,t,,
"Sea Mar Community Health Centers\, Inpatient",http://seamar.org,(206) 219-5980,113 23rd Ave. S.,"Intensive inpatient. Agency provides DBHR-certified services. Inpatient serves adults 18 and older; outpatient serves adults and youth 12 and older. Call for more information. Inpatient accepts Apple Health (Medicaid); outpatient accepts Apple Health (Medicaid)\, private insurance and private pay.","Mon. – Fri.\, 8 a.m. – 5 p.m.",no restrictions,not allowed,t,,
"Sea Mar Community Health Centers\, 17th Pl. S.",http://seamar.org,(206) 766-6976,"10001 17th Pl S.\, Lower Level","Intensive outpatient. Agency provides DBHR-certified services. Inpatient serves adults 18 and older; outpatient serves adults and youth 12 and older. Outpatient behavioral health clinics provides counseling as well as bilingual domestic violence survivor and chemical dependency support groups. Agency provides DBHR-certified service(s). Serves everyone. Call or visit in person to make an appointment. Sliding scale fees. Inpatient accepts Apple Health (Medicaid); outpatient accepts Apple Health (Medicaid)\, private insurance and private pay. ","Mon. – Fri.\, 8 a .m. – 5 p .m.; Support groups: Mon.\, 5 – 7 p.m.; Tue.\, Thurs.\, 5 – 8 p.m.",no restrictions,allowed,t,,
"Seattle’s Union Gospel Mission\, Othello St.",http://ugm.org/what-we-do/welcome-and-embrace/,(206) 628-2008,3802 S. Othello St.,"Long-term residential rehabilitation program\, outpatient treatment and intensive outpatient treatment. Provides DBHR-certified service(s). Serves women 18 and older. Call for screening. No fees.  Recovery Program with shelter serving single women and women with children who are in recovery from drugs or alcohol or who have experienced domestic violence but are not actively being pursued. Transgender clients served on a case-by-case basis. Cannot serve sex offenders. Wheelchair accessible.
Performs background checks. Cannot accept women who are currently on a Methadone program. Call for telephone screen- ing. Call daily to check and maintain spot on wait-list. *Services may be limited due to religious affiliation.","Shelter Screening: Mon. – Fri.\, 8:30 – 9 a.m.; Office: 8 a.m. – 9 p.m.",women only,allowed,t,,
Sound,http://sound.health/,(206) 302-2300,1600 E. Olive St.,"Assessments\, outpatient and a co-occurring disorders program serving adults 18 and older and youth 13-18. Co-occurring disorder integrated case management\, therapy\, sex offender treatment\, chemical dependency treatment\, vocational training\, payee services\, coordination with courts and probation\, medication management\, referrals to medical services and assistance identifying housing. Serves mentally ill men and women who have a history of incarceration or interactions with the legal system. Accepts referrals by self or by professionals. Agency provides DBHR-certified service(s). Call for information. Accepts Apple Health (Medicaid) and most commercial health plans. Sliding scale fees for private pay. ","Mon. – Fri.\, 8 a.m. – 6 p.m.; Service hours vary",no restrictions,allowed,t,,
"Swedish Medical Center\, Medication Assisted Treatment",http://swedish.org,(206) 386-6111; ,"1401 Madison St.\, Suite 100","Detoxification with Suboxone\, inpatient\, medication assisted treatment and a specialty program for pregnant women. Provides DBHR-certified services. Serves adults 18 and older or pregnant women 16 and older. Call for information and to apply. Accepts Apple Health (Medicaid) and most private insurance.",,women only,allowed,t,,
"Swedish Medical Center\, Pregnancy Program\, Detoxification\, & Inpatient",http://swedish.org,Pregnancy Program (206) 781-6209; Detoxification and inpatient (206) 781-6048,5300 Tallman Ave NW,"Detoxification with Suboxone\, inpatient\, medication assisted treatment and a specialty program for pregnant women. Provides DBHR-certified services. Serves adults 18 and older or pregnant women 16 and older. Call for information and to apply. Accepts Apple Health (Medicaid) and most private insurance.",,women only,allowed,t,,
"Therapeutic Health Services\, Summit Ave.",http://ths-wa.org,(206) 323-0930,1116 Summit Ave.,"Mental health services\, case management\, group counseling to serve mentally ill clients as well as those with co-occurring disorders. Call intake for an appointment. Sliding scale fees. Private pay\, Apple Health (Medicaid) and private insurance.Outpatient\, intensive outpatient and opiate substitution treatment serving adults. Call for screening and appointment. Sliding scale fees. Accepts private insurance\, private pay and Apple Health (Medicaid).","Mon. – Thurs.\, 7 a.m. – 5:30 p.m.\, Fri.\, 7 a.m. – 4:30 p.m.",no restrictions,allowed,t,,
"Therapeutic Health Services\, Shoreline",http://ths-wa.org,(206) 546-9766,"16715 Aurora Ave. N.\, Suite 102","Mental health services\, case management\, group counseling to serve mentally ill clients as well as those with co-occurring disorders. Call intake for an appointment. Sliding scale fees. Private pay\, Apple Health (Medicaid) and private insurance.Outpatient\, intensive outpatient and opiate substitution treatment serving adults. Call for screening and appointment. Sliding scale fees. Accepts private insurance\, private pay and Apple Health (Medicaid).","Mon. – Fri.\, 7 a.m. – 4:30 p.m.",no restrictions,allowed,t,,
"Therapeutic Health Services\, South Seattle",http://ths-wa.org,(206) 322-7676,1901 MLK Jr. Way S;,"Youth and Family only. Mental health services\, case management\, group counseling to serve mentally ill clients as well as those with co-occurring disorders. Call intake for an appointment. Sliding scale fees. Accepts private insurance\, private pay and Apple Health (Medicaid).","Mon. – Fri.\, 9 a.m. – 6 p.m.",no restrictions,allowed,t,,
"Therapeutic Health Services\, Bellevue",http://ths-wa.org,(425) 747-7892,1412 140th Pl. NE,"Youth and Family only. Mental health services\, case management\, group counseling to serve mentally ill clients as well as those with co-occurring disorders. Call intake for an appointment. Sliding scale fees. Private pay\, Apple Health (Medicaid) and private insurance.Call for screening and appointment. Sliding scale fees. Accepts private insurance\, private pay and Apple Health (Medicaid).","Mon. – Wed.\, 7 a.m. - 5:30 p.m.; Thurs/Fri 7 a.m. – 4:30 p.m.",no restrictions,allowed,t,,
Traugott Terrace,http://ccsww.org/get-help/housing/permanent-housing/,(206) 267-3023,2317 Third Ave. ,Structured clean and sober affordable permanent and transitional housing. Serves single low-income men and women 18 and older who are actively engaged in a recovery program. Transitional housing is for men only. Call or visit website for all eligibility information including wait list openings. Application forms available on-site and online. Fees are 30 percent of income.,,no restrictions,allowed,t,,
"Valley Cities Counseling & Consultation\, Meridian Ave.",http://valleycities.org/new-clients/,(253) 833-7444,10521 Meridian Ave. N,"DUI assessments\, outpatient and intensive outpatient programs for people with co-occurring substance use and mental health disorders. Agency provides DBHR-certified service(s). Must be Medicaid eligible or high risk population. First call to determine eligibility\, then visit in person at assessment locations. Required documents: Photo ID\, Apple Health card\, Court and/or DUI documentation if applicable. Accepts Apple Health (Medicaid).   Veteran resources and mental health counseling\, including military related PTSD and military sexual trauma. Veterans do not have to be Valley Cities clients to access Veterans Services. Serves veterans\, including Active\, Reserves\, National Guard and their families.   ","Mon. – Fri.\, 8:30 a.m. – 5 p.m.; Assessments: Tue.\, 8:30 a.m.",no restrictions,allowed,t,,
"Valley Cities Counseling & Consultation\, 33rd Ave. NE",http://valleycities.org/new-clients/,(253) 833-7445,12736 33rd Ave. NE,"DUI assessments\, outpatient and intensive outpatient programs for people with co-occurring substance use and mental health disorders. Agency provides DBHR-certified service(s). Must be Medicaid eligible or high risk population. First call to determine eligibility\, then visit in person at assessment locations. Required documents: Photo ID\, Apple Health card\, Court and/or DUI documentation if applicable. Accepts Apple Health (Medicaid).      ","Mon. – Fri.\, 8:30 a.m. – 5 p.m.; Assessments: Tue.\, 8:30 a.m.",no restrictions,allowed,t,,
"Valley Cities Counseling & Consultation\, Aurora Ave. NE",http://valleycities.org/new-clients/,(253) 833-7446,13555 Aurora Ave. NE,"DUI assessments\, outpatient and intensive outpatient programs for people with co-occurring substance use and mental health disorders. Agency provides DBHR-certified service(s). Must be Medicaid eligible or high risk population. First call to determine eligibility\, then visit in person at assessment locations. Required documents: Photo ID\, Apple Health card\, Court and/or DUI documentation if applicable. Accepts Apple Health (Medicaid).      ","Mon. – Fri.\, 8:30 a.m. – 5 p.m.",no restrictions,allowed,t,,
"Valley Cities Counseling & Consultation\, Des Moines",http://valleycities.org/new-clients/,(253) 833-7447,"26401 Pacific Hwy S.\, Suite 201","DUI assessments\, outpatient and intensive outpatient programs for people with co-occurring substance use and mental health disorders. Agency provides DBHR-certified service(s). Must be Medicaid eligible or high risk population. First call to determine eligibility\, then visit in person at assessment locations. Required documents: Photo ID\, Apple Health card\, Court and/or DUI documentation if applicable. Accepts Apple Health (Medicaid).  Veteran resources and mental health counseling\, including military related PTSD and military sexual trauma. Veterans do not have to be Valley Cities clients to access Veterans Services. Serves veterans\, including Active\, Reserves\, National Guard and their families.    ","Mon. – Fri.\,8:30 a.m. – 5 p.m.; Assessments: Tue: 8:30 a.m.",no restrictions,allowed,t,,
"Valley Cities Counseling & Consultation\, Western Ave.",http://valleycities.org/new-clients/,(253) 833-7448,1537 Western Ave.,"DUI assessments\, outpatient and intensive outpatient programs for people with co-occurring substance use and mental health disorders. Agency provides DBHR-certified service(s). Must be Medicaid eligible or high risk population. First call to determine eligibility\, then visit in person at assessment locations. Required documents: Photo ID\, Apple Health card\, Court and/or DUI documentation if applicable. Accepts Apple Health (Medicaid).   Veteran resources and mental health counseling\, including military related PTSD and military sexual trauma. Veterans do not have to be Valley Cities clients to access Veterans Services. Serves veterans\, including Active\, Reserves\, National Guard and their families.   ","Mon. – Fri.\, 8:30 a.m. – 5 p.m.; Assessments: Tue.\, 8:30 a.m.",no restrictions,allowed,t,,
CARES of Washington,http://caresofwa.org,(206) 938-1253,"1833 N. 105th St.\, Suite 201","Career coaching\, financial planning\, benefits counseling and asset development services serving people 18 and older who are legally eligible to work in the U.S. Serves people with disabilities and people with barriers to employment. Call\, apply online or apply in person. No fees.","Mon. – Fri.\, 8 a.m. – 4 p.m.",no restrictions,allowed,t,,
Church of Jesus Christ of Latter Day Saints,http://lds.org/locations,(206) 533-8154,17935 Aurora Ave. N.,Job skills training and placement for people 18 and older who are unable to find or keep employment. Must be eligible to work in the United States. No fees.,"Mon. – Sat.\, 9 a.m. – 4:30 p.m.",no restrictions,allowed,t,,
"DSHS Division of Vocational Rehabilitation\, South Seattle",http://dshs.wa.gov/,(206) 273-7100,"1200 12th Ave. S.\, Suite 730","Medical evaluation\, vocational assessment\, counseling and guidance and job preparation. Includes support\, job match and placement\, follow up and post employment services. Serves those who have a physical or mental impairment. Call for an appointment. No fees.","Mon. – Fri.\, 8 a.m. – 5 p.m.",no restrictions,allowed,t,,
"DSHS Division of Vocational Rehabilitation\, North Seattle",http://dshs.wa.gov/,(206) 440-2230,12063 15th Ave. NE,"Medical evaluation\, vocational assessment\, counseling and guidance and job preparation. Includes support\, job match and placement\, follow up and post employment services. Serves those who have a physical or mental impairment. Call for an appointment. No fees.","Mon. – Fri.\, 8 a.m. – 5 p.m.",no restrictions,allowed,t,,
FareStart,http://farestart.org/adult-culinary-program,(206) 267-6218,700 Virginia St.,"Sixteen weeks of culinary arts job training\, followed by six months of support services for adults 18 and older. The program provides assistance with housing\, transportation\, wrap around case management services\, job placement and more. No fees.","Orientation: Tue.\, 9:30 a.m.",no restrictions,allowed,t,,
"Goodwill\, Dearborn Pl. S",http://seattlegoodwill.org/job-training-and-education,(206) 860-5791,700 Dearborn Pl. S,"Support services\, work readiness classes and vocational training in retail\, customer service and warehouse logistics. Call for more information. No fees.","Mon. – Fri.\, 8:30 a.m. – 5 p.m.",no restrictions,allowed,t,,
"Neighborhood House\, 29th Ave S.",http://nhwa.org/index.php,(206) 461-4568,4410 29th Ave. S,"Offers assistance to individuals seeking U.S. citizenship including citizenship and ESL classes. Provides bilingual case management\, free HIV education\, as well as counseling\, testing and referrals\, early childhood education programs and general employment and adult education services. Serves low-income community members\, public housing residents\, immigrants and refugees. Call for information. No fees.","Mon. – Fri.\, 9 a.m. – 5 p.m.",no restrictions,allowed,t,,
"Neighborhood House\, Sylvan Way SW",http://nhwa.org/index.php,(206) 588-4900,6400 Sylvan Way SW,"Offers assistance to individuals seeking U.S. citizenship including citizenship and ESL classes. Provides bilingual case management\, free HIV education\, as well as counseling\, testing and referrals\, early childhood education programs and general employment and adult education services. Serves low-income community members\, public housing residents\, immigrants and refugees. Call for information. No fees.","Mon. – Fri.\,: 9 a.m. – 5 p.m.",no restrictions,allowed,t,,
Real Change,http://main.realchangenews.org/about/work/vendor/,(206) 441-3247,96 S. Main St.,"Provides an immediate source of income selling Real Change newspapers. Serves homeless or low-income adults 18 or older. No ID required. Must attend orientation. No fee to become a vendor. Vendors receive first 10 papers free\, then papers are purchased for $.60 each and sold for $2.","Orientation: Tue.\, Fri.\, 10 a.m",no restrictions,allowed,t,,
Seattle Conservation Corps,http://seattle.gov/parks,(206) 684-0190,"7727 63rd Ave. NE\, Suite 201",Structured program that provides job skills and wages for home- less adults 18 and older. Must be willing to do manual labor and have the ability to lift 50 pounds on a regular basis. Must be clean and sober. No fees.,"Mon. – Fri.\, 7 a.m. – 4 p.m.",no restrictions,allowed,t,,
"WorkSource\, Central Seattle",http://worksourceskc.org,(206) 436-8600,"2024 3rd Ave.\, YWCA second floor",Structured program that provides job skills and wages for home- less adults 18 and older. Must be willing to do manual labor and have the ability to lift 50 pounds on a regular basis. Must be clean and sober. No fees.,"Mon. – Fri.\, 7 a.m. – 4 p.m.",no restrictions,allowed,t,,
"WorkSource\, North Seattle",http://worksourceskc.org,(206) 440-2500,"9600 College Way N.\, North Seattle Community College OCE & E Bldg",Structured program that provides job skills and wages for home- less adults 18 and older. Must be willing to do manual labor and have the ability to lift 50 pounds on a regular basis. Must be clean and sober. No fees.,"Mon. – Fri.\, 7 a.m. – 4 p.m.",no restrictions,allowed,t,,
"WorkSource\, South Seattle",http://worksourceskc.org,(206) 934-5304,"6000 16th Ave. SW\, South Seattle College",Structured program that provides job skills and wages for home- less adults 18 and older. Must be willing to do manual labor and have the ability to lift 50 pounds on a regular basis. Must be clean and sober. No fees.,"Mon. – Fri.\, 7 a.m. – 4 p.m.",no restrictions,allowed,t,,
"WorkSource\, Rainier",http://worksourceskc.org,(206) 721-6000,2531 Rainier Ave. S,Structured program that provides job skills and wages for home- less adults 18 and older. Must be willing to do manual labor and have the ability to lift 50 pounds on a regular basis. Must be clean and sober. No fees.,"Mon. – Fri.\, 7 a.m. – 4 p.m.",no restrictions,allowed,t,,
"YWCA\, BankWork$ Central Seattle",http://ywcaworks.org/economic-advancement,(206) 436-8674,2024 3rd Ave.,BankWork$: provides job training and job placement assistance in the banking industry. Call for a pre-screening interview. No fees.,"Mon. – Fri.\, 8:30 a.m. – 5:30 p.m.",no restrictions,allowed,t,,
"YWCA\, Career Center",http://ywcaworks.org/economic-advancement,Career Center (206) 336-7000; Manufacturing (206) 336-6979; BankWork$ (206) 436-8674; CareerWork$ Medical (206) 503-0366,9720 Eighth Ave. SW,Employment and training opportunities for adults 18 and older. Career Center: job seekers can access employment and training services. Visit in person. Manufacturing: helps women enter the manufacturing field. Call for more information and location. BankWork$: provides job training and job placement assistance in the banking industry. Call for a pre-screening interview. CareerWork$ Medical: prepares job seekers for entry level positions in the health care industry. No fees.,"Mon. – Thurs.\, 9 a.m. – 5:30 p.m.; Fri.\, 9 a.m. – 4:30 p.m.",no restrictions,allowed,t,,
3W Medical for Women,http://3wmedical.org,(206) 588-0311,"4528 Eighth Ave. NE\, Unit 1A","Sexual health services\, pregnancy services and social service referrals to local community partners for women. STD testing. Call for an appointment. Appointments not required. Documents required: Photo ID. Most services are free.","Mon -Fri.\, 10 a.m. – 5 p.m.",women only,allowed,f,,
Catholic Community Services Pregnancy & Parenting Support (PrePS),http://ccsww.org/get-help/child-youth-family-services/,(206) 707-1501,"St. Edwards Parish\, 4250 S. Mead St.","Counseling\, case management\, education\, emergency assistance and material support for women and families with children birth to 5. Does not provide medical referrals. Call for phone intake. Interpreter services available by appointment only. No fees. *Services may be limited due to religious affiliation.","Mon. – Fri.\, 9 a.m. – 5 p.m.; voicemail is available",women only,allowed,t,,
Cedar River Clinics,http://cedarriverclinics.org/seattle/,(800) 572-4223,"509 Olive Way\, Suite 1454","Offers health care such as cancer screenings\, STD testing and treatment\, HIV Testing\, abortion and birth control. Offers transgender services such as hormone therapy\, surgical referrals for gender reassignment\, breast and cosmetic surgeries\, post-surgical follow up and ID documentation. Serves clients identifying as LGBTQ. Call for more information or to make an appointment. Sliding scale fees. Accepts Apple Health (Medicaid) and most insurance plans. Documents required: photo ID.","Intake: Mon. – Fri.\, 8 a.m. – 5 p.m.\, Sat.\, 9 a.m. – 2 p.m.",no restrictions,allowed,t,,
Children’s Home Society of Washington,http://childrenshomesociety.org/northking/,(206) 364-7930,"2611 NE 125th St.\, Suite 145","Parenting classes and support groups\, WIC\, preventative health services and maternity support services serving low-income\, pregnant women who receive state medical assistance. Interpreters available with advance notice. Call for appointment.","Mon.\, 10 – 5 p.m.; Tue. – Thurs.\, 9 a.m. – 5 p.m.; Fri.\, 9 a.m. – 3 p.m.",women only,allowed,t,,
City of Seattle,http://seattle.gov/education/for-parents/,(206) 386-1050,"700 Fifth Ave.\, Suite 5600",Financial assistance for families in need of child care for low-in- come families with children under 13.,"Mon. – Fri.\, 8 a.m. – 5 p.m.",no restrictions,allowed,t,,
Community Psychiatric Clinic Child/Family Assessment Svc,http://cpcwa.org/child--family.html,(206) 366-3015; After-hours crisis line: (206)-461-3222 x10700,"10700 Meridian Ave. N.\, Suite G-11","Screening\, intake\, assessment and treatment for all child\, parent and family mental health services. Apple Health (Medicaid) and private pay accepted.","Mon. – Tue.\, 8 a.m. – 7 p.m.; Wed. – Thurs.\, 8 a.m. – 6 p.m.; Fri.\, 8 a.m. – 5 p.m.; Service hours may vary",no restrictions,allowed,t,,
"Country Doctor Community Health Centers\, Carolyn Downs",http://countrydoctor.org,(206) 299-1900,"2101 E. Yesler Way\, Suite 150","Comprehensive health services and an after-hours clinic. Serves everyone. Call for an appointment. Sliding scale fees. Accepts Medicare\, Apple Health (Medic- aid) and insurance. No one will be turned away due to inability to pay. Prenatal and pregnancy care for pregnant women who receive state medical assistance. No WIC. Accepts Apple Health (Medicaid). *Services may be limited due to religious affiliation.","Mon.\, Tue.\, Thurs.\, Fri.\, 9 a.m. – 5 p.m.; Wed.\, 9 a.m. – 8:30 p.m.; Sat.\, 9 a.m. – noon.",women only,allowed,t,,
"Country Doctor Community Health Centers\, 19th Ave. E.",http://countrydoctor.org,(206) 299-1600,500 19th Ave. E,"Comprehensive health services and an after-hours clinic. Serves everyone. Call for an appointment. Sliding scale fees. Accepts Medicare\, Apple Health (Medic- aid) and insurance. No one will be turned away due to inability to pay. Comprehensive health services as well as prenatal and pregnancy care for pregnant women who receive state medical assistance. Offers WIC. Accepts Apple Health (Medicaid). *Services may be limited due to religious affiliation.","Mon.\, Tue.\, Fri.\, 9 a.m. – 5 p.m.; Wed.\, Thurs.\, 9 a.m. – 8:30 p.m.; Maternal Care: Wed.\, Thurs.\, 9 a.m. – 8:30 p.m.",women only,allowed,t,,
FamilyWorks WIC,http://familyworksseattle.org/family-center/wic,(206) 263-9438,1501 N. 45th St.,"Nutrition program\, food assistance and referrals for pregnant women and new mothers who are at or below 185 percent of the Federal Poverty Level. Call for an appointment. No fees.",WIC appointments: available on Thurs.,women only,allowed,t,,
First Place,http://firstplaceschool.org/early-learning/,(206) 629-6288,172 20th Ave.,"Education and wraparound services to families. Offers early learning\, programs. Serves children 3 through 5\, from families that are in crisis impacting family stability. Call for enrollment forms. No fees.","Mon. – Fri.\, 8:30 a.m. – 4:30 p.m.; School: Mon. – Fri.\, 9 a.m. – 3:30 p.m.",no restrictions,allowed,t,,
HealthPoint,http://healthpointchc.org,(206) 242-0885,"Many locations\, see website for detailed information.","Primary medical care\, mental health counseling\, and WIC nutrition programs serving everyone. Call for an appointment. Accepts Apple Health (Medicaid). Sliding scale fees. No fees for WIC. Many locations\, see website for detailed information.","Many locations\, see website for detailed information.",no restrictions,allowed,t,,
"King County Public Health\, Meridian Ave. N",http://kingcounty.gov/depts/health/child-teen-health.aspx,(206) 263-9440,10521 Meridian Ave. N,"Maternal and family health programs\, such as pregnancy services\, primary care\, WIC\, information and guidance from nurses\, as well as Mom’s Plus case management for those
seeking substance abuse treatment. Offers: nursing\, WIC and maternity services.","Mon.\, Wed.\, Fri.\, 8 a.m. – 5 p.m.; Tue.\, Thurs.\, 8 a.m. – 6:30 p.m.",no restrictions,allowed,t,,
"King County Public Health\, Eighth Ave. SW",http://kingcounty.gov/depts/health/child-teen-health.aspx,(206) 477-0000,9934 Eighth Ave. SW,"Maternal and family health programs\, such as pregnancy services\, primary care\, WIC\, information and guidance from nurses\, as well as Mom’s Plus case management for those
seeking substance abuse treatment. Offers: WIC and maternity services.","Mon. – Thurs.\, 8:30 a.m. – 6:30 p.m.; Fri.\, 8:30 a.m. – 5:30 p.m.",no restrictions,allowed,t,,
"Mary's Place\, Day Center for Families\, Eighth Ave. SW",http://marysplaceseattle.org/how-we-help/day-center/,(206) 621-8474; 24 Hour Intake (206) 245-1026,10821 Eighth Ave. SW,"Day center connecting clients to services for anyone identifying as female\, with or without children. Visit in person. No fees.Day center and shelter serving homeless families with children. No fees.","Mon. – Fri.\, 12 – 5 p.m.",no restrictions,allowed,t,,
"Mary's Place\, Day Center for Families\, 130th St.",http://marysplaceseattle.org/how-we-help/day-center/,(206) 621-8474; 24 Hour Intake (206) 245-1027,"1155 N\, 130th St.","Day center connecting clients to services for anyone identifying as female\, with or without children. Visit in person. No fees.Day center and shelter serving homeless families with children. No fees.","Mon. – Fri.\, 12 – 5 p.m.",no restrictions,allowed,t,,
"Navos\, South Seattle",http://navos.org,(206) 248-8226,2600 SW Holden St.,"Family and child intensive therapy services\, outpatient therapy\, case management\, infant mental health services\, information and referral and counseling. Serves all King County residents. Sliding scale fees. Will accept Apple Health (Medicaid)\, Medicare and private insurance.","Mon. – Fri.\, 8 a.m. – 5 p.m.; Service hours vary",no restrictions,allowed,t,,
Neighborcare Health,http://neighborcare.org/programs/midwifery,Appointments: (206) 548-5710,"Many locations\, see website for information.","Offers primary medical care\, social work services and behavioral health services serving everyone. Pregnancy and midwifery services serving pregnant women. Offers WIC food assistance. Call for appointment. Sliding scale fees. Accepts Medicare\, Apple Health (Medicaid) and most health insurance plans.","Many locations\, see website for information.",women only,allowed,t,,
"North Helpline Office\, 33rd Ave. NE",http://northhelpline.org/takes-village/,(206) 367-3477,12736 33rd Ave. NE,"Baby cupboard providing supplies to families with children under 2\, but will provide food staples for children 2-5. Serves residents of ZIP codes 98115\, 98125\, 98133\, 98155\, 98177\, 98011 and 98028 as well as anyone experiencing homelessness. Food pantry clients may visit either location of the baby cupboard once per week. Visit in person. Documents required: photo ID and proof of address. No fees.",First Sat. of the month: 10 a.m. – 1 p.m.,no restrictions,allowed,t,,
"North Helpline Office\, Linden Ave. N",http://northhelpline.org/takes-village/,(206) 367-3478,13000 Linden Ave. N.,"Baby cupboard providing supplies to families with children under 2\, but will provide food staples for children 2-5. Serves residents of ZIP codes 98115\, 98125\, 98133\, 98155\, 98177\, 98011 and 98028 as well as anyone experiencing homelessness. Food pantry clients may visit either location of the baby cupboard once per week. Visit in person. Documents required: photo ID and proof of address. No fees.",First Sat. of the month: 10 a.m. – 2 p.m.,no restrictions,allowed,t,,
Northwest Harvest ,http://northwestharvest.org/cherry-street-food-bank,(206) 625-0755,711 Cherry St.,"Baby cupboard serving families with children 5 and younger. Clients may visit once per day. Visit in person. Documents required: if baby is not present at food pantry\, birth certificate or Apple Health card. No fees.","Thurs.\, 9 a.m. – 4 p.m.",no restrictions,allowed,t,,
Odessa Brown,http://seattlechildrens.org/contact/odessa-brown/,(206) 987-7210; WIC (206) 987-7235,"2101 E. Yesler Way\, Suite 100","Outpatient pediatric medical\, dental\, WIC and mental health services serving infants\, children and adolescents. Call to make an appointment. Parent or guardian must accompany child. Accepts Apple Health (Medicaid) or other third party payment.","Dental: Mon. – Fri.\, 8 a.m. – 5:30 p.m.; Sat.\, 9 a.m. – noon; Medical: Mon. – Fri.\, 8 a.m. – 5 p.m.; Sat.\, 9 a.m. – noon; Mental Health: Mon. – Fri.\, 8 a.m. – 5:30 p.m.",no restrictions,allowed,t,,
Pregnancy Aid of South King County,http://desmoinespa.wixsite.com/dmpa,(206) 878-3770,"730 S. 225th St.\, Des Moines","Pregnancy-related counseling for pregnant women\, new mothers\, caretakers and children birth-5. Spanish available on Fridays. Call or visit\, no appointment or referral needed. Documents required: Photo ID. No fees.","Mon.\, Wed.-Fri.\, 10 a.m. – 1 p.m.",no restrictions,allowed,t,,
University of Washington Medical Center,http://uwmedicine.org/locations/,(206) 598-4070,"1959 NE Pacific St.\, Pacific Tower\, Room SW-350","North Seattle Full-service obstetrical services for pregnant women. Fees vary according to services. Accepts Apple Health (Medicaid)\, private insurance and numerous managed care plans. Will not refuse services pending obtaining insurance coverage for the patient.",,women only,allowed,t,,
